# KO configuration for ko_detector
# generated from: chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv
# Rows with an empty 'ko' are not searched; enter a KO to enable them.
ko	role	functional_group	substrate	gene_enzyme	priority	detectable_via_kegg	recommended_tool	caveats	ko_text	source
K17219	acceptor	Sulfur-reducing	S0	sreABC (sulfur reductase)	Essential	Yes		Reduces S0 to HS-. Sequences are highly similar to hydrogenases and to polysulfide reductase, so annotation mix-ups are common.	K17219	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:21
K08352	acceptor	Sulfur-reducing	S0 / polysulfide	psrABC (polysulfide reductase)	Alternative	Yes		Because S0 is insoluble, many organisms in fact reduce polysulfide (Sn 2-) generated in solution. Cultivation notes about colloidal versus powdered sulfur bear on this.	K08352	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:22
	acceptor	Sulfur-reducing	S0	hydABC-like, membrane-bound hydrogenase relatives	Supporting	Partial	HydDB helps separate them	Several sulfur reductases are hydrogenase homologues. Without functional evidence, a hydrogenase hit may actually be a sulfur reductase.	Limited KEGG coverage	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:23
	acceptor	Iron-reducing (FeRB)	Fe(III)	mtrABC (porin-cytochrome conduit)	Essential	No	FeGenie required	The Shewanella-type extracellular electron transfer conduit. Not detectable through KEGG.	Poor KEGG coverage	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:24
	acceptor	Iron-reducing (FeRB)	Fe(III)	omcA, omcB, omcS (outer-membrane multiheme cytochromes)	Essential	No	FeGenie required	The Geobacter-type multiheme cytochrome network. Mechanisms differ widely between organisms, so a single marker set does not cover all iron reducers.	Poor KEGG coverage	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:25
	acceptor	Iron-reducing (FeRB)	Fe(III)	Rusticyanin / Cyc1 running in reverse	Supporting	No	FeGenie required	Proposed for anaerobic Fe(III) reduction in acidophilic Acidithiobacillus, but unsettled. Such strains use the same couple in both directions, so a genome alone cannot call the direction; the phenotype (does it oxidise Fe(II)?) decides.	Poor KEGG coverage	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:26
K00399	acceptor	Methanogens (hydrogenotrophic)	CO2	mcrABG (methyl-CoM reductase)	Essential	Yes		The decisive marker for methanogenesis, found nowhere else. Also present in anaerobic methane oxidisers (ANME) running in reverse, so check the taxonomy when the context allows it.	K00399, K00401, K00402	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:27
K00401	acceptor	Methanogens (hydrogenotrophic)	CO2	mcrABG (methyl-CoM reductase)	Essential	Yes		The decisive marker for methanogenesis, found nowhere else. Also present in anaerobic methane oxidisers (ANME) running in reverse, so check the taxonomy when the context allows it.	K00399, K00401, K00402	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:27
K00402	acceptor	Methanogens (hydrogenotrophic)	CO2	mcrABG (methyl-CoM reductase)	Essential	Yes		The decisive marker for methanogenesis, found nowhere else. Also present in anaerobic methane oxidisers (ANME) running in reverse, so check the taxonomy when the context allows it.	K00399, K00401, K00402	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:27
	acceptor	Methanogens (hydrogenotrophic)	CO2	fwd / fmd (formylmethanofuran dehydrogenase)	Essential	Yes		The entry step that fixes CO2 onto methanofuran. Confirms the hydrogenotrophic route rather than the acetoclastic one.	See KEGG (Mo- and W-dependent variants)	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:28
	acceptor	Methanogens (hydrogenotrophic)	CO2	mtrA-H (methyl transferase, Na+ pumping)	Essential	Yes		Generates the sodium-motive force. Its absence points to a methylotrophic methanogen rather than the hydrogenotrophic route.	See KEGG	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:29
K03388	acceptor	Methanogens (hydrogenotrophic)	CO2	hdrABC (heterodisulfide reductase)	Essential	Yes		Forms the electron-bifurcating Mvh-Hdr complex, the precondition for this set given its small delta-E.	K03388-K03390	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:30
K03389	acceptor	Methanogens (hydrogenotrophic)	CO2	hdrABC (heterodisulfide reductase)	Essential	Yes		Forms the electron-bifurcating Mvh-Hdr complex, the precondition for this set given its small delta-E.	K03388-K03390	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:30
K03390	acceptor	Methanogens (hydrogenotrophic)	CO2	hdrABC (heterodisulfide reductase)	Essential	Yes		Forms the electron-bifurcating Mvh-Hdr complex, the precondition for this set given its small delta-E.	K03388-K03390	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:30
K14138	acceptor	Acetogens (homoacetogens)	CO2	acsB (acetyl-CoA synthase)	Essential	Yes		The core of the WL pathway. CO2 here is both terminal acceptor and carbon source. Its presence alongside aerobic sulfur oxidation markers is contradictory (CODH/ACS is oxygen sensitive) and should prompt suspicion of a misannotation.	K14138	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:31
K00198	acceptor	Acetogens (homoacetogens)	CO2	cooS (CO dehydrogenase)	Essential	Yes		Forms the bifunctional CODH/ACS complex with acsB. Also serves as the CO donor marker, so the same gene appears on the donor sheet.	K00198	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:32
K03612	acceptor	Acetogens (homoacetogens)	CO2	Rnf complex (rnfABCDEG)	Essential (energy conservation)	Yes		At 124 mV this set has the smallest delta-E in the matrix, so either Rnf or Ech is mandatory. Which one is present separates the two energetic types of acetogen.	K03612-K03617	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:33
K03613	acceptor	Acetogens (homoacetogens)	CO2	Rnf complex (rnfABCDEG)	Essential (energy conservation)	Yes		At 124 mV this set has the smallest delta-E in the matrix, so either Rnf or Ech is mandatory. Which one is present separates the two energetic types of acetogen.	K03612-K03617	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:33
K03614	acceptor	Acetogens (homoacetogens)	CO2	Rnf complex (rnfABCDEG)	Essential (energy conservation)	Yes		At 124 mV this set has the smallest delta-E in the matrix, so either Rnf or Ech is mandatory. Which one is present separates the two energetic types of acetogen.	K03612-K03617	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:33
K03615	acceptor	Acetogens (homoacetogens)	CO2	Rnf complex (rnfABCDEG)	Essential (energy conservation)	Yes		At 124 mV this set has the smallest delta-E in the matrix, so either Rnf or Ech is mandatory. Which one is present separates the two energetic types of acetogen.	K03612-K03617	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:33
K03616	acceptor	Acetogens (homoacetogens)	CO2	Rnf complex (rnfABCDEG)	Essential (energy conservation)	Yes		At 124 mV this set has the smallest delta-E in the matrix, so either Rnf or Ech is mandatory. Which one is present separates the two energetic types of acetogen.	K03612-K03617	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:33
K03617	acceptor	Acetogens (homoacetogens)	CO2	Rnf complex (rnfABCDEG)	Essential (energy conservation)	Yes		At 124 mV this set has the smallest delta-E in the matrix, so either Rnf or Ech is mandatory. Which one is present separates the two energetic types of acetogen.	K03612-K03617	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:33
	acceptor	Acetogens (homoacetogens)	CO2	Ech (energy-converting hydrogenase)	Alternative	Partial		The alternative to Rnf. Moorella-type acetogens use Ech, Acetobacterium-type use Rnf.	Limited KEGG coverage	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:34
K00625	acceptor	Acetogens (homoacetogens)	CO2 (downstream)	pta (phosphotransacetylase), ackA (acetate kinase)	Supporting	Yes		The final steps producing acetate and substrate-level ATP. Confirms that the product is acetate rather than another WL end product.	K00625, K00925	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:35
K00925	acceptor	Acetogens (homoacetogens)	CO2 (downstream)	pta (phosphotransacetylase), ackA (acetate kinase)	Supporting	Yes		The final steps producing acetate and substrate-level ATP. Confirms that the product is acetate rather than another WL end product.	K00625, K00925	chemolithoautotroph_donor_acceptor_acceptor_ko_reference.tsv:35
