Functional group	Electron donor	Gene / enzyme	KO	Priority	Detectable via KEGG	Degeneracy and caveats	Recommended tool
Methane oxidizing (methanotroph)	CH4	pmoABC (particulate methane monooxygenase)	K10944, K10945, K10946	Essential	Yes	Shares its KOs with amoABC. Resolve by taxonomy (Verrucomicrobiota vs Pseudomonadota) and sequence phylogeny. Being a monooxygenase, O2 is a substrate itself.	Phylogenetic placement required
Methane oxidizing (methanotroph)	CH4	mmoX (soluble methane monooxygenase)	K16157	Alternative	Yes	Alternative enzyme expressed under low copper.	
Methane oxidizing (methanotroph)	CH4 (autotrophic type call)	rbcL/cbbM + prkB	K01601, K00855	Essential (type call)	Yes	Positive indicates the autotrophic type (Methylacidiphilum, set No.26); negative indicates a methylotrophic type that is not autotrophic.	
Methane oxidizing (methanotroph)	CH4 (autotrophic type call)	hxlAB (RuMP), sga/hprA (serine)	See KEGG	Essential (type call)	Yes	Absence indicates the autotrophic type; presence indicates the methylotrophic type in which CH4 also serves as the carbon source.	
Methane oxidizing (methanotroph)	CH3OH (downstream)	mxaFI (Ca2+-dependent), xoxF (REE-dependent)	K14028, K14029, K23995	Supporting	Yes	Strains carrying only XoxF and lacking MxaFI require rare-earth salts (CeCl3, LaCl3) at nM levels in the medium; cultures fail to start if this is overlooked.	
							
Scope: sulfur, ammonia, nitrite, hydrogen, iron, CO, formate and methane donors. Mn(II), As(III) and phosphite are outside this sheet because reports are sparse (see the Electron donors sheet).							
Priority: Essential = indispensable for calling the physiotype; Alternative = a different route to the same function; Supporting = for checking substrate range or downstream steps. Rows marked Difficult or No need a custom HMM or a dedicated tool.							
KOs for electron acceptors and CO2-fixation pathways are on their own sheets. A set call needs all three: donor, acceptor and fixation pathway.							
KO identifiers are subject to revision; re-check against the current KEGG release before implementing a pipeline.							
