# KO configuration for ko_detector
# generated from: chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv
# Rows with an empty 'ko' are not searched; enter a KO to enable them.
ko	role	functional_group	substrate	gene_enzyme	priority	detectable_via_kegg	recommended_tool	caveats	ko_text	source
	donor	Sulfur oxidizing (SOB)	SO3 2-	soeABC, sorAB	Supporting	Difficult		Direct sulfite oxidation; a route separate from aprAB+sat.	Poor KEGG coverage	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:8
	donor	Sulfur oxidizing (SOB)	S4O6 2- / S3O6 2-	tetH (tetrathionate hydrolase)	Supporting	Difficult		Nearly indistinguishable in sequence from trithionate hydrolase; substrate specificity is hard to resolve even with an HMM. Polythionates are intermediates that feed into the sox or rDsr systems, so energetically they belong with thiosulfate.	Poor KEGG coverage	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:9
K19713	donor	Sulfur oxidizing (SOB)	S2O3 2- (producing side)	tsdA (thiosulfate dehydrogenase)	Supporting	Yes		Produces tetrathionate from thiosulfate; doxDA acts similarly.	K19713	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:10
	donor	Sulfur oxidizing (SOB)	SCN-	scnABC (route A), tcdA (route B)	Supporting	No		Requires a custom HMM. Nitrogen is released during degradation.	Not in KEGG	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:11
K01725	donor	Sulfur oxidizing (SOB)	SCN-	cynS (cyanate degradation)	Supporting	Yes		Downstream of route B. Strains carrying it may not need a separate nitrogen source, which matters for medium design.	K01725	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:12
K10944	donor	Ammonia oxidizing (AOB/AOA)	NH3 / NH4+	amoABC (ammonia monooxygenase)	Essential	Yes	Phylogenetic placement required	Most important degeneracy: shares its KOs with pmoABC (methane monooxygenase). Resolve by sequence phylogeny, taxonomy, and presence of hao. Being a monooxygenase, O2 is a substrate itself, so the acceptor is aerobic even when the paper does not say so.	K10944, K10945, K10946	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:13
K10945	donor	Ammonia oxidizing (AOB/AOA)	NH3 / NH4+	amoABC (ammonia monooxygenase)	Essential	Yes	Phylogenetic placement required	Most important degeneracy: shares its KOs with pmoABC (methane monooxygenase). Resolve by sequence phylogeny, taxonomy, and presence of hao. Being a monooxygenase, O2 is a substrate itself, so the acceptor is aerobic even when the paper does not say so.	K10944, K10945, K10946	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:13
K10946	donor	Ammonia oxidizing (AOB/AOA)	NH3 / NH4+	amoABC (ammonia monooxygenase)	Essential	Yes	Phylogenetic placement required	Most important degeneracy: shares its KOs with pmoABC (methane monooxygenase). Resolve by sequence phylogeny, taxonomy, and presence of hao. Being a monooxygenase, O2 is a substrate itself, so the acceptor is aerobic even when the paper does not say so.	K10944, K10945, K10946	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:13
K10535	donor	Ammonia oxidizing (AOB/AOA)	NH3 / NH4+	hao (hydroxylamine oxidoreductase)	Essential (AOB vs AOA)	Yes		Present in AOB, absent in AOA. Decisive marker, and it tracks the CO2-fixation split (AOB = CBB, AOA = 3-HP/4-HB).	K10535	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:14
K00370	donor	Nitrite oxidizing (NOB)	NO2-	nxrAB (nitrite oxidoreductase)	Essential	Yes	Phylogenetic placement required	Most important degeneracy: shares its KOs with narGH (nitrate reduction, the reverse reaction). Resolve by localisation signal (Tat), subunit composition, and phylogenetic placement; cytoplasmic vs periplasmic orientation varies by genus.	K00370, K00371	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:15
K00371	donor	Nitrite oxidizing (NOB)	NO2-	nxrAB (nitrite oxidoreductase)	Essential	Yes	Phylogenetic placement required	Most important degeneracy: shares its KOs with narGH (nitrate reduction, the reverse reaction). Resolve by localisation signal (Tat), subunit composition, and phylogenetic placement; cytoplasmic vs periplasmic orientation varies by genus.	K00370, K00371	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:15
K10944	donor	Nitrite oxidizing (NOB)	NH3 (comammox check)	amoABC	Supporting	Yes		Nitrospira may carry both amo and nxr (comammox); always check.	K10944, K10945, K10946	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:16
K10945	donor	Nitrite oxidizing (NOB)	NH3 (comammox check)	amoABC	Supporting	Yes		Nitrospira may carry both amo and nxr (comammox); always check.	K10944, K10945, K10946	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:16
K10946	donor	Nitrite oxidizing (NOB)	NH3 (comammox check)	amoABC	Supporting	Yes		Nitrospira may carry both amo and nxr (comammox); always check.	K10944, K10945, K10946	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:16
K06281	donor	Hydrogen oxidizing	H2	[NiFe] hyaB, hybC	Essential	Yes	HydDB / METABOLIC	KOs do not distinguish uptake from evolving hydrogenases. Classify with HydDB or the group-specific HMMs in METABOLIC. Group 1 membrane-bound enzymes are the uptake type.	K06281, K05922	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:17
K05922	donor	Hydrogen oxidizing	H2	[NiFe] hyaB, hybC	Essential	Yes	HydDB / METABOLIC	KOs do not distinguish uptake from evolving hydrogenases. Classify with HydDB or the group-specific HMMs in METABOLIC. Group 1 membrane-bound enzymes are the uptake type.	K06281, K05922	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:17
K00532	donor	Hydrogen oxidizing	H2	[FeFe] hydA	Alternative	Yes	HydDB	Common in anaerobes; direction again resolved with HydDB.	K00532, K00533	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:18
K00533	donor	Hydrogen oxidizing	H2	[FeFe] hydA	Alternative	Yes	HydDB	Common in anaerobes; direction again resolved with HydDB.	K00532, K00533	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:18
	donor	Hydrogen oxidizing	H2	mvhADG, frhABG	Supporting	Partial		F420-dependent and electron-bifurcating types in methanogenic archaea; form complexes with Hdr.	Limited KEGG coverage	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:19
	donor	Iron oxidizing (FeOB)	Fe(II)	cyc2 (outer-membrane cytochrome)	Essential	No	FeGenie required	Principal marker for neutrophilic FeOB (Gallionella, Mariprofundus). Not detectable via KEGG.	Poor KEGG coverage	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:20
	donor	Iron oxidizing (FeOB)	Fe(II)	mtoAB	Alternative	No	FeGenie required	Sideroxydans and relatives; highly similar to mtrAB.	Poor KEGG coverage	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:21
	donor	Iron oxidizing (FeOB)	Fe(II)	foxEYZ	Alternative	No	FeGenie required	Reported for photoferrotrophic iron oxidation; limited relevance to chemolithoautotrophy.	Poor KEGG coverage	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:22
	donor	Iron oxidizing (FeOB)	Fe(II)	rusticyanin, sulfocyanin, cyc1, coxBACD (rus operon)	Essential (acidophiles)	No	FeGenie required	Acidophilic FeOB (Acidithiobacillus, Leptospirillum). Note these are electron-transfer proteins rather than the oxidising enzyme itself. Some are proposed to run in reverse for Fe(III) reduction under anaerobic conditions.	Poor KEGG coverage	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:23
K03520	donor	CO oxidizing (carboxydotroph)	CO (aerobic)	coxLMS (Mo-Cu CO dehydrogenase)	Essential	Yes	Motif check	Form I vs Form II is decided by the AYXCSFR motif (Form I is the high-affinity type); the KO alone does not tell them apart.	K03520, K03519, K03518	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:24
K03519	donor	CO oxidizing (carboxydotroph)	CO (aerobic)	coxLMS (Mo-Cu CO dehydrogenase)	Essential	Yes	Motif check	Form I vs Form II is decided by the AYXCSFR motif (Form I is the high-affinity type); the KO alone does not tell them apart.	K03520, K03519, K03518	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:24
K03518	donor	CO oxidizing (carboxydotroph)	CO (aerobic)	coxLMS (Mo-Cu CO dehydrogenase)	Essential	Yes	Motif check	Form I vs Form II is decided by the AYXCSFR motif (Form I is the high-affinity type); the KO alone does not tell them apart.	K03520, K03519, K03518	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:24
K00198	donor	CO oxidizing (carboxydotroph)	CO (anaerobic)	cooS (Ni-Fe CO dehydrogenase)	Essential	Yes		Co-localised with acsB of the WL pathway. In the anaerobic type CO serves as both donor and carbon source (incorporated as the carbonyl group by ACS).	K00198	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:25
K00123	donor	Formate oxidizing	HCOO-	fdhF, fdoG (formate dehydrogenase)	Essential	Yes		A frequent alternative to H2. Presence of the gene does not guarantee growth, so cross-check against negative substrate lists in the literature.	K00123, K00122	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:26
K00122	donor	Formate oxidizing	HCOO-	fdhF, fdoG (formate dehydrogenase)	Essential	Yes		A frequent alternative to H2. Presence of the gene does not guarantee growth, so cross-check against negative substrate lists in the literature.	K00123, K00122	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:26
	donor	Formate oxidizing	HCOO-	fdhA, fdwA	Alternative	Partial		Variant forms including tungsten-dependent enzymes.	Limited KEGG coverage	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:27
K10944	donor	Methane oxidizing (methanotroph)	CH4	pmoABC (particulate methane monooxygenase)	Essential	Yes	Phylogenetic placement required	Shares its KOs with amoABC. Resolve by taxonomy (Verrucomicrobiota vs Pseudomonadota) and sequence phylogeny. Being a monooxygenase, O2 is a substrate itself.	K10944, K10945, K10946	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:28
K10945	donor	Methane oxidizing (methanotroph)	CH4	pmoABC (particulate methane monooxygenase)	Essential	Yes	Phylogenetic placement required	Shares its KOs with amoABC. Resolve by taxonomy (Verrucomicrobiota vs Pseudomonadota) and sequence phylogeny. Being a monooxygenase, O2 is a substrate itself.	K10944, K10945, K10946	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:28
K10946	donor	Methane oxidizing (methanotroph)	CH4	pmoABC (particulate methane monooxygenase)	Essential	Yes	Phylogenetic placement required	Shares its KOs with amoABC. Resolve by taxonomy (Verrucomicrobiota vs Pseudomonadota) and sequence phylogeny. Being a monooxygenase, O2 is a substrate itself.	K10944, K10945, K10946	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:28
K16157	donor	Methane oxidizing (methanotroph)	CH4	mmoX (soluble methane monooxygenase)	Alternative	Yes		Alternative enzyme expressed under low copper.	K16157	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:29
K01601	donor	Methane oxidizing (methanotroph)	CH4 (autotrophic type call)	rbcL/cbbM + prkB	Essential (type call)	Yes		Positive indicates the autotrophic type (Methylacidiphilum, set No.26); negative indicates a methylotrophic type that is not autotrophic.	K01601, K00855	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:30
K00855	donor	Methane oxidizing (methanotroph)	CH4 (autotrophic type call)	rbcL/cbbM + prkB	Essential (type call)	Yes		Positive indicates the autotrophic type (Methylacidiphilum, set No.26); negative indicates a methylotrophic type that is not autotrophic.	K01601, K00855	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:30
	donor	Methane oxidizing (methanotroph)	CH4 (autotrophic type call)	hxlAB (RuMP), sga/hprA (serine)	Essential (type call)	Yes		Absence indicates the autotrophic type; presence indicates the methylotrophic type in which CH4 also serves as the carbon source.	See KEGG	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:31
K14028	donor	Methane oxidizing (methanotroph)	CH3OH (downstream)	mxaFI (Ca2+-dependent), xoxF (REE-dependent)	Supporting	Yes		Strains carrying only XoxF and lacking MxaFI require rare-earth salts (CeCl3, LaCl3) at nM levels in the medium; cultures fail to start if this is overlooked.	K14028, K14029, K23995	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:32
K14029	donor	Methane oxidizing (methanotroph)	CH3OH (downstream)	mxaFI (Ca2+-dependent), xoxF (REE-dependent)	Supporting	Yes		Strains carrying only XoxF and lacking MxaFI require rare-earth salts (CeCl3, LaCl3) at nM levels in the medium; cultures fail to start if this is overlooked.	K14028, K14029, K23995	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:32
K23995	donor	Methane oxidizing (methanotroph)	CH3OH (downstream)	mxaFI (Ca2+-dependent), xoxF (REE-dependent)	Supporting	Yes		Strains carrying only XoxF and lacking MxaFI require rare-earth salts (CeCl3, LaCl3) at nM levels in the medium; cultures fail to start if this is overlooked.	K14028, K14029, K23995	chemolithoautotroph_donor_acceptor_donor_ko_reference.tsv:32
