Functional group	Electron acceptor	Gene / enzyme	KO	Priority	Detectable via KEGG	Degeneracy and caveats	Recommended tool
Anammox	NO2-	hzsABC (hydrazine synthase)	K20932-K20935	Essential	Yes	"Diagnostic for anammox and found nowhere else. NH4+ is the donor, making this the one set where both partners are nitrogen species."	
Anammox	NO2-	hdh (hydrazine dehydrogenase)	Limited KEGG coverage	Essential	Partial	"Oxidises hydrazine to N2. Related to hao (K10535) in sequence, so check the taxonomy (Planctomycetota) as well."	
Sulfate-reducing (SRB)	SO4 2-	sat (ATP sulfurylase)	K00958	Essential	Yes	Activates sulfate to APS. Shared with sulfur oxidisers running the pathway in reverse (directional degeneracy).	
Sulfate-reducing (SRB)	SO4 2-	aprAB (APS reductase)	"K00394, K00395"	Essential	Yes	"Shared with sulfur oxidisers. The partner complex distinguishes direction: QmoABC in reducers, AprM in oxidisers."	Phylogenetic placement required
Sulfate-reducing (SRB)	SO3 2-	dsrAB (reductive type)	"K11180, K11181"	Essential	Yes	"Most important degeneracy: identical KOs to the reverse-acting rDsr of sulfur oxidisers. Resolve by (1) placement in a dsrAB reference tree, (2) absence of dsrEFH (retained only in the oxidative direction), (3) QmoABC vs AprM. Note that an explicit statement of obligate anaeroby in the literature settles the direction without sequence work."	Phylogenetic placement required
Sulfate-reducing (SRB)	SO3 2-	dsrMKJOP (membrane complex)	Poor KEGG coverage	Supporting	Difficult	Couples DsrAB to the membrane. Its presence supports a genuinely respiratory (dissimilatory) pathway rather than assimilatory sulfate reduction.	
Sulfate-reducing (SRB)	SO4 2-	qmoABC	Poor KEGG coverage	Essential (direction call)	Difficult	Present in the reductive direction; the oxidative direction uses AprM instead. One of the three criteria for calling dsrAB direction.	
Sulfate-reducing (SRB)	SO3 2-	asrABC (anaerobic sulfite reductase)	K16950-K16952	Alternative	Yes	"A route to sulfide independent of DsrAB, found in some organisms that reduce sulfite but not sulfate."	
Sulfate-reducing (SRB)	S2O3 2-	phsABC (thiosulfate reductase)	Closely related to psrABC (K08352); poor KO resolution	Supporting	Difficult	Most sulfate reducers use thiosulfate as a secondary acceptor. Hard to separate from polysulfide reductase by KO alone. Remember that the same compound is a donor in aerobic sulfur oxidisers.	
Sulfur-reducing	S0	sreABC (sulfur reductase)	K17219	Essential	Yes	"Reduces S0 to HS-. Sequences are highly similar to hydrogenases and to polysulfide reductase, so annotation mix-ups are common."	
Sulfur-reducing	S0 / polysulfide	psrABC (polysulfide reductase)	K08352	Alternative	Yes	"Because S0 is insoluble, many organisms in fact reduce polysulfide (Sn 2-) generated in solution. Cultivation notes about colloidal versus powdered sulfur bear on this."	
Sulfur-reducing	S0	"hydABC-like, membrane-bound hydrogenase relatives"	Limited KEGG coverage	Supporting	Partial	"Several sulfur reductases are hydrogenase homologues. Without functional evidence, a hydrogenase hit may actually be a sulfur reductase."	HydDB helps separate them
Iron-reducing (FeRB)	Fe(III)	mtrABC (porin-cytochrome conduit)	Poor KEGG coverage	Essential	No	The Shewanella-type extracellular electron transfer conduit. Not detectable through KEGG.	FeGenie required
Iron-reducing (FeRB)	Fe(III)	"omcA, omcB, omcS (outer-membrane multiheme cytochromes)"	Poor KEGG coverage	Essential	No	"The Geobacter-type multiheme cytochrome network. Mechanisms differ widely between organisms, so a single marker set does not cover all iron reducers."	FeGenie required
Iron-reducing (FeRB)	Fe(III)	Rusticyanin / Cyc1 running in reverse	Poor KEGG coverage	Supporting	No	"Proposed for anaerobic Fe(III) reduction in acidophilic Acidithiobacillus, but unsettled. Such strains use the same couple in both directions, so a genome alone cannot call the direction; the phenotype (does it oxidise Fe(II)?) decides."	FeGenie required
Methanogens (hydrogenotrophic)	CO2	mcrABG (methyl-CoM reductase)	"K00399, K00401, K00402"	Essential	Yes	"The decisive marker for methanogenesis, found nowhere else. Also present in anaerobic methane oxidisers (ANME) running in reverse, so check the taxonomy when the context allows it."	
Methanogens (hydrogenotrophic)	CO2	fwd / fmd (formylmethanofuran dehydrogenase)	See KEGG (Mo- and W-dependent variants)	Essential	Yes	The entry step that fixes CO2 onto methanofuran. Confirms the hydrogenotrophic route rather than the acetoclastic one.	
Methanogens (hydrogenotrophic)	CO2	"mtrA-H (methyl transferase, Na+ pumping)"	See KEGG	Essential	Yes	Generates the sodium-motive force. Its absence points to a methylotrophic methanogen rather than the hydrogenotrophic route.	
Methanogens (hydrogenotrophic)	CO2	hdrABC (heterodisulfide reductase)	K03388-K03390	Essential	Yes	"Forms the electron-bifurcating Mvh-Hdr complex, the precondition for this set given its small delta-E."	
Acetogens (homoacetogens)	CO2	acsB (acetyl-CoA synthase)	K14138	Essential	Yes	The core of the WL pathway. CO2 here is both terminal acceptor and carbon source. Its presence alongside aerobic sulfur oxidation markers is contradictory (CODH/ACS is oxygen sensitive) and should prompt suspicion of a misannotation.	
Acetogens (homoacetogens)	CO2	cooS (CO dehydrogenase)	K00198	Essential	Yes	"Forms the bifunctional CODH/ACS complex with acsB. Also serves as the CO donor marker, so the same gene appears on the donor sheet."	
Acetogens (homoacetogens)	CO2	Rnf complex (rnfABCDEG)	K03612-K03617	Essential (energy conservation)	Yes	"At 124 mV this set has the smallest delta-E in the matrix, so either Rnf or Ech is mandatory. Which one is present separates the two energetic types of acetogen."	
Acetogens (homoacetogens)	CO2	Ech (energy-converting hydrogenase)	Limited KEGG coverage	Alternative	Partial	"The alternative to Rnf. Moorella-type acetogens use Ech, Acetobacterium-type use Rnf."	
Acetogens (homoacetogens)	CO2 (downstream)	"pta (phosphotransacetylase), ackA (acetate kinase)"	"K00625, K00925"	Supporting	Yes	The final steps producing acetate and substrate-level ATP. Confirms that the product is acetate rather than another WL end product.	
							
"Scope: the eight major acceptor groups (O2, nitrate/denitrification, anammox, sulfate, sulfur, iron, CO2 for methanogenesis, CO2 for acetogenesis). Minor acceptors (Mn(IV), As(V), SeO4 2-, ClO3-, fumarate, DMSO/TMAO) are omitted here; see Electron_Acceptors."							
Priority: Essential = indispensable for calling the physiotype; Alternative = a different route to the same function; Supporting = for confirming the route or downstream steps. Rows marked Difficult or No need a custom HMM or a dedicated tool.							
"Note the asymmetry with the donor sheet: S, N and Fe appear on both sides, and S0 and NO2- occur as donor and acceptor alike. Direction must be called from the oxygen regime, the wording of the description, or phylogenetic placement, not from the KO."							
"In methanogens and acetogens CO2 serves as both terminal acceptor and carbon source, so these rows also overlap with CO2_Fixation_Pathways (WL)."							
